"Notes"	"Year"	"Year Code"	"County"	"County Code"	"UCD - Drug/Alcohol Induced Causes"	"UCD - Drug/Alcohol Induced Causes Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"1999"	"1999"	"Apache County, AZ"	"04001"	"All Other Causes"	"O"	431	69801	617.46966	29.74247
	"1999"	"1999"	"Cochise County, AZ"	"04003"	"Drug-Induced Causes"	"D"	10	116530	Unreliable	2.71370
	"1999"	"1999"	"Cochise County, AZ"	"04003"	"All Other Causes"	"O"	1002	116530	859.86441	27.16415
	"1999"	"1999"	"Coconino County, AZ"	"04005"	"Drug-Induced Causes"	"D"	11	115307	Unreliable	2.87634
	"1999"	"1999"	"Coconino County, AZ"	"04005"	"Alcohol-Induced Causes"	"A"	11	115307	Unreliable	2.87634
	"1999"	"1999"	"Coconino County, AZ"	"04005"	"All Other Causes"	"O"	476	115307	412.81102	18.92116
	"1999"	"1999"	"Gila County, AZ"	"04007"	"Alcohol-Induced Causes"	"A"	13	50990	Unreliable	7.07109
	"1999"	"1999"	"Gila County, AZ"	"04007"	"All Other Causes"	"O"	616	50990	1208.08002	48.67493
	"1999"	"1999"	"Graham County, AZ"	"04009"	"All Other Causes"	"O"	281	33279	844.37633	50.37127
	"1999"	"1999"	"Greenlee County, AZ"	"04011"	"All Other Causes"	"O"	67	8535	785.00293	95.90337
	"1999"	"1999"	"La Paz County, AZ"	"04012"	"All Other Causes"	"O"	176	19355	909.32576	68.54301
	"1999"	"1999"	"Maricopa County, AZ"	"04013"	"Drug-Induced Causes"	"D"	329	3004985	10.94847	0.60361
	"1999"	"1999"	"Maricopa County, AZ"	"04013"	"Alcohol-Induced Causes"	"A"	216	3004985	7.18806	0.48909
	"1999"	"1999"	"Maricopa County, AZ"	"04013"	"All Other Causes"	"O"	22004	3004985	732.24991	4.93638
	"1999"	"1999"	"Mohave County, AZ"	"04015"	"Alcohol-Induced Causes"	"A"	27	150351	17.95798	3.45601
	"1999"	"1999"	"Mohave County, AZ"	"04015"	"All Other Causes"	"O"	1828	150351	1215.82164	28.43687
	"1999"	"1999"	"Navajo County, AZ"	"04017"	"Drug-Induced Causes"	"D"	12	96100	Unreliable	3.60468
	"1999"	"1999"	"Navajo County, AZ"	"04017"	"Alcohol-Induced Causes"	"A"	20	96100	20.81165	4.65363
	"1999"	"1999"	"Navajo County, AZ"	"04017"	"All Other Causes"	"O"	652	96100	678.45994	26.57054
	"1999"	"1999"	"Pima County, AZ"	"04019"	"Drug-Induced Causes"	"D"	139	828905	16.76911	1.42234
	"1999"	"1999"	"Pima County, AZ"	"04019"	"Alcohol-Induced Causes"	"A"	86	828905	10.37513	1.11878
	"1999"	"1999"	"Pima County, AZ"	"04019"	"All Other Causes"	"O"	7060	828905	851.72607	10.13672
	"1999"	"1999"	"Pinal County, AZ"	"04021"	"Drug-Induced Causes"	"D"	11	173364	Unreliable	1.91310
	"1999"	"1999"	"Pinal County, AZ"	"04021"	"Alcohol-Induced Causes"	"A"	17	173364	Unreliable	2.37829
	"1999"	"1999"	"Pinal County, AZ"	"04021"	"All Other Causes"	"O"	1408	173364	812.16400	21.64424
	"1999"	"1999"	"Santa Cruz County, AZ"	"04023"	"All Other Causes"	"O"	195	37713	517.06308	37.02766
	"1999"	"1999"	"Yavapai County, AZ"	"04025"	"Drug-Induced Causes"	"D"	10	162943	Unreliable	1.94073
	"1999"	"1999"	"Yavapai County, AZ"	"04025"	"Alcohol-Induced Causes"	"A"	21	162943	12.88794	2.81238
	"1999"	"1999"	"Yavapai County, AZ"	"04025"	"All Other Causes"	"O"	1886	162943	1157.45997	26.65233
	"1999"	"1999"	"Yuma County, AZ"	"04027"	"Drug-Induced Causes"	"D"	10	155665	Unreliable	2.03146
	"1999"	"1999"	"Yuma County, AZ"	"04027"	"Alcohol-Induced Causes"	"A"	15	155665	Unreliable	2.48802
	"1999"	"1999"	"Yuma County, AZ"	"04027"	"All Other Causes"	"O"	943	155665	605.78807	19.72717
	"1999"	"1999"	"Arkansas County, AR"	"05001"	"All Other Causes"	"O"	281	20966	1340.26519	79.95352
	"1999"	"1999"	"Ashley County, AR"	"05003"	"All Other Causes"	"O"	301	24261	1240.67433	71.51128
	"1999"	"1999"	"Baxter County, AR"	"05005"	"All Other Causes"	"O"	622	38055	1634.47642	65.53653
	"1999"	"1999"	"Benton County, AR"	"05007"	"All Other Causes"	"O"	1216	148636	818.10598	23.46080
	"1999"	"1999"	"Boone County, AR"	"05009"	"All Other Causes"	"O"	397	33436	1187.34298	59.59104
	"1999"	"1999"	"Bradley County, AR"	"05011"	"All Other Causes"	"O"	180	12518	1437.92938	107.17693
	"1999"	"1999"	"Calhoun County, AR"	"05013"	"All Other Causes"	"O"	67	5764	1162.38723	142.00820
	"1999"	"1999"	"Carroll County, AR"	"05015"	"All Other Causes"	"O"	275	25062	1097.27875	66.16840
	"1999"	"1999"	"Chicot County, AR"	"05017"	"All Other Causes"	"O"	182	14265	1275.84998	94.57229
	"1999"	"1999"	"Clark County, AR"	"05019"	"All Other Causes"	"O"	263	23490	1119.62537	69.03906
	"1999"	"1999"	"Clay County, AR"	"05021"	"All Other Causes"	"O"	234	17707	1321.51127	86.38989
	"1999"	"1999"	"Cleburne County, AR"	"05023"	"All Other Causes"	"O"	292	23806	1226.58153	71.78025
	"1999"	"1999"	"Cleveland County, AR"	"05025"	"All Other Causes"	"O"	86	8589	1001.28071	107.97088
	"1999"	"1999"	"Columbia County, AR"	"05027"	"All Other Causes"	"O"	349	25614	1362.53611	72.93489
	"1999"	"1999"	"Conway County, AR"	"05029"	"All Other Causes"	"O"	235	20275	1159.06289	75.60893
	"1999"	"1999"	"Craighead County, AR"	"05031"	"All Other Causes"	"O"	717	81038	884.77011	33.04235
	"1999"	"1999"	"Crawford County, AR"	"05033"	"All Other Causes"	"O"	463	52708	878.42453	40.82385
	"1999"	"1999"	"Crittenden County, AR"	"05035"	"All Other Causes"	"O"	533	50530	1054.81892	45.68928
	"1999"	"1999"	"Cross County, AR"	"05037"	"All Other Causes"	"O"	200	19589	1020.98116	72.19427
	"1999"	"1999"	"Dallas County, AR"	"05039"	"All Other Causes"	"O"	125	9272	1348.14495	120.58175
	"1999"	"1999"	"Desha County, AR"	"05041"	"All Other Causes"	"O"	182	15351	1185.59052	87.88182
	"1999"	"1999"	"Drew County, AR"	"05043"	"All Other Causes"	"O"	203	18683	1086.54927	76.26081
	"1999"	"1999"	"Faulkner County, AR"	"05045"	"All Other Causes"	"O"	562	84633	664.04358	28.01099
	"1999"	"1999"	"Franklin County, AR"	"05047"	"All Other Causes"	"O"	230	17779	1293.66106	85.30148
	"1999"	"1999"	"Fulton County, AR"	"05049"	"All Other Causes"	"O"	159	11519	1380.32815	109.46714
	"1999"	"1999"	"Garland County, AR"	"05051"	"All Other Causes"	"O"	1210	87177	1387.98077	39.90164
	"1999"	"1999"	"Grant County, AR"	"05053"	"All Other Causes"	"O"	162	16312	993.13389	78.02797
	"1999"	"1999"	"Greene County, AR"	"05055"	"All Other Causes"	"O"	421	36881	1141.50918	55.63375
	"1999"	"1999"	"Hempstead County, AR"	"05057"	"All Other Causes"	"O"	241	23536	1023.96329	65.95927
	"1999"	"1999"	"Hot Spring County, AR"	"05059"	"All Other Causes"	"O"	300	30155	994.85989	57.43826
	"1999"	"1999"	"Howard County, AR"	"05061"	"All Other Causes"	"O"	189	14371	1315.14856	95.66298
	"1999"	"1999"	"Independence County, AR"	"05063"	"All Other Causes"	"O"	372	33951	1095.69674	56.80923
	"1999"	"1999"	"Izard County, AR"	"05065"	"All Other Causes"	"O"	221	13145	1681.24762	113.09295
	"1999"	"1999"	"Jackson County, AR"	"05067"	"All Other Causes"	"O"	245	18617	1316.00150	84.07625
	"1999"	"1999"	"Jefferson County, AR"	"05069"	"All Other Causes"	"O"	897	84178	1065.59909	35.57932
	"1999"	"1999"	"Johnson County, AR"	"05071"	"All Other Causes"	"O"	236	22656	1041.66667	67.80672
	"1999"	"1999"	"Lafayette County, AR"	"05073"	"All Other Causes"	"O"	105	8643	1214.85595	118.55780
	"1999"	"1999"	"Lawrence County, AR"	"05075"	"All Other Causes"	"O"	266	18003	1477.53152	90.59327
	"1999"	"1999"	"Lee County, AR"	"05077"	"All Other Causes"	"O"	166	12719	1305.13405	101.29805
	"1999"	"1999"	"Lincoln County, AR"	"05079"	"All Other Causes"	"O"	115	14474	794.52812	74.09013
	"1999"	"1999"	"Little River County, AR"	"05081"	"All Other Causes"	"O"	167	13565	1231.10947	95.26611
	"1999"	"1999"	"Logan County, AR"	"05083"	"All Other Causes"	"O"	291	22223	1309.45417	76.76156
	"1999"	"1999"	"Lonoke County, AR"	"05085"	"All Other Causes"	"O"	443	51807	855.09680	40.62688
	"1999"	"1999"	"Madison County, AR"	"05087"	"All Other Causes"	"O"	166	14003	1185.46026	92.00956
	"1999"	"1999"	"Marion County, AR"	"05089"	"All Other Causes"	"O"	175	15951	1097.10990	82.93371
	"1999"	"1999"	"Miller County, AR"	"05091"	"All Other Causes"	"O"	397	40391	982.89223	49.32995
	"1999"	"1999"	"Mississippi County, AR"	"05093"	"All Other Causes"	"O"	596	52034	1145.40493	46.91761
	"1999"	"1999"	"Monroe County, AR"	"05095"	"All Other Causes"	"O"	156	10387	1501.87735	120.24642
	"1999"	"1999"	"Montgomery County, AR"	"05097"	"All Other Causes"	"O"	98	9089	1078.22643	108.91732
	"1999"	"1999"	"Nevada County, AR"	"05099"	"All Other Causes"	"O"	121	10066	1202.06636	109.27876
	"1999"	"1999"	"Newton County, AR"	"05101"	"All Other Causes"	"O"	85	8475	1002.94985	108.78519
	"1999"	"1999"	"Ouachita County, AR"	"05103"	"All Other Causes"	"O"	394	28954	1360.77917	68.55506
	"1999"	"1999"	"Perry County, AR"	"05105"	"All Other Causes"	"O"	115	10097	1138.95216	106.20784
	"1999"	"1999"	"Phillips County, AR"	"05107"	"All Other Causes"	"O"	358	26817	1334.97408	70.55557
	"1999"	"1999"	"Pike County, AR"	"05109"	"All Other Causes"	"O"	137	11155	1228.14881	104.92783
	"1999"	"1999"	"Poinsett County, AR"	"05111"	"All Other Causes"	"O"	319	25525	1249.75514	69.97285
	"1999"	"1999"	"Polk County, AR"	"05113"	"All Other Causes"	"O"	266	20079	1324.76717	81.22669
	"1999"	"1999"	"Pope County, AR"	"05115"	"All Other Causes"	"O"	480	54300	883.97790	40.34789
	"1999"	"1999"	"Prairie County, AR"	"05117"	"All Other Causes"	"O"	104	9590	1084.46298	106.34034
	"1999"	"1999"	"Pulaski County, AR"	"05119"	"Drug-Induced Causes"	"D"	19	360312	Unreliable	1.20976
	"1999"	"1999"	"Pulaski County, AR"	"05119"	"Alcohol-Induced Causes"	"A"	29	360312	8.04858	1.49458
	"1999"	"1999"	"Pulaski County, AR"	"05119"	"All Other Causes"	"O"	3167	360312	878.96046	15.61872
	"1999"	"1999"	"Randolph County, AR"	"05121"	"All Other Causes"	"O"	218	18156	1200.70500	81.32200
	"1999"	"1999"	"St. Francis County, AR"	"05123"	"All Other Causes"	"O"	353	29353	1202.60280	64.00809
	"1999"	"1999"	"Saline County, AR"	"05125"	"All Other Causes"	"O"	705	82130	858.39523	32.32903
	"1999"	"1999"	"Scott County, AR"	"05127"	"All Other Causes"	"O"	139	10977	1266.28405	107.40481
	"1999"	"1999"	"Searcy County, AR"	"05129"	"All Other Causes"	"O"	126	8178	1540.71900	137.25816
	"1999"	"1999"	"Sebastian County, AR"	"05131"	"All Other Causes"	"O"	1145	113302	1010.57351	29.86518
	"1999"	"1999"	"Sevier County, AR"	"05133"	"All Other Causes"	"O"	159	15741	1010.10101	80.10622
	"1999"	"1999"	"Sharp County, AR"	"05135"	"All Other Causes"	"O"	279	16878	1653.03946	98.96488
	"1999"	"1999"	"Stone County, AR"	"05137"	"All Other Causes"	"O"	147	11391	1290.49249	106.43803
	"1999"	"1999"	"Union County, AR"	"05139"	"All Other Causes"	"O"	566	45706	1238.34945	52.05171
	"1999"	"1999"	"Van Buren County, AR"	"05141"	"All Other Causes"	"O"	208	16105	1291.52437	89.55110
	"1999"	"1999"	"Washington County, AR"	"05143"	"All Other Causes"	"O"	1060	154627	685.52064	21.05560
	"1999"	"1999"	"White County, AR"	"05145"	"All Other Causes"	"O"	663	66359	999.11090	38.80225
	"1999"	"1999"	"Woodruff County, AR"	"05147"	"All Other Causes"	"O"	131	8855	1479.39018	129.25492
	"1999"	"1999"	"Yell County, AR"	"05149"	"All Other Causes"	"O"	250	20918	1195.14294	75.58748
	"1999"	"1999"	"Alameda County, CA"	"06001"	"Drug-Induced Causes"	"D"	125	1427114	8.75894	0.78342
	"1999"	"1999"	"Alameda County, CA"	"06001"	"Alcohol-Induced Causes"	"A"	102	1427114	7.14729	0.70769
	"1999"	"1999"	"Alameda County, CA"	"06001"	"All Other Causes"	"O"	9683	1427114	678.50221	6.89519
	"1999"	"1999"	"Amador County, CA"	"06005"	"All Other Causes"	"O"	357	34903	1022.83471	54.13415
	"1999"	"1999"	"Butte County, CA"	"06007"	"Drug-Induced Causes"	"D"	15	201282	Unreliable	1.92416
	"1999"	"1999"	"Butte County, CA"	"06007"	"Alcohol-Induced Causes"	"A"	17	201282	Unreliable	2.04842
	"1999"	"1999"	"Butte County, CA"	"06007"	"All Other Causes"	"O"	2104	201282	1045.29963	22.78861
	"1999"	"1999"	"Calaveras County, CA"	"06009"	"All Other Causes"	"O"	415	40000	1037.50000	50.92887
	"1999"	"1999"	"Colusa County, CA"	"06011"	"All Other Causes"	"O"	145	18620	778.73255	64.67022
	"1999"	"1999"	"Contra Costa County, CA"	"06013"	"Drug-Induced Causes"	"D"	73	936983	7.79096	0.91186
	"1999"	"1999"	"Contra Costa County, CA"	"06013"	"Alcohol-Induced Causes"	"A"	97	936983	10.35238	1.05112
	"1999"	"1999"	"Contra Costa County, CA"	"06013"	"All Other Causes"	"O"	6434	936983	686.67201	8.56069
	"1999"	"1999"	"Del Norte County, CA"	"06015"	"All Other Causes"	"O"	226	27624	818.12916	54.42114
	"1999"	"1999"	"El Dorado County, CA"	"06017"	"Drug-Induced Causes"	"D"	17	154381	Unreliable	2.67073
	"1999"	"1999"	"El Dorado County, CA"	"06017"	"Alcohol-Induced Causes"	"A"	22	154381	14.25046	3.03821
	"1999"	"1999"	"El Dorado County, CA"	"06017"	"All Other Causes"	"O"	1127	154381	730.01211	21.74544
	"1999"	"1999"	"Fresno County, CA"	"06019"	"Drug-Induced Causes"	"D"	60	789405	7.60066	0.98124
	"1999"	"1999"	"Fresno County, CA"	"06019"	"Alcohol-Induced Causes"	"A"	96	789405	12.16106	1.24118
	"1999"	"1999"	"Fresno County, CA"	"06019"	"All Other Causes"	"O"	5332	789405	675.44543	9.25007
	"1999"	"1999"	"Glenn County, CA"	"06021"	"All Other Causes"	"O"	240	26332	911.43855	58.83311
	"1999"	"1999"	"Humboldt County, CA"	"06023"	"Drug-Induced Causes"	"D"	28	126676	22.10363	4.17719
	"1999"	"1999"	"Humboldt County, CA"	"06023"	"Alcohol-Induced Causes"	"A"	14	126676	Unreliable	2.95372
	"1999"	"1999"	"Humboldt County, CA"	"06023"	"All Other Causes"	"O"	1123	126676	886.51363	26.45426
	"1999"	"1999"	"Imperial County, CA"	"06025"	"Drug-Induced Causes"	"D"	19	141056	Unreliable	3.09019
	"1999"	"1999"	"Imperial County, CA"	"06025"	"Alcohol-Induced Causes"	"A"	16	141056	Unreliable	2.83575
	"1999"	"1999"	"Imperial County, CA"	"06025"	"All Other Causes"	"O"	842	141056	596.92604	20.57143
